序号,楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
2481,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2482,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2483,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2484,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2485,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2486,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2487,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2488,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2489,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2490,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2491,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2492,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2493,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2494,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2495,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2496,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2497,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2498,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2499,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2500,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2501,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2502,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2503,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2504,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2505,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2506,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2507,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2508,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2509,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2510,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2511,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2512,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2513,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2514,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2515,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2516,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2517,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2518,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2519,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2520,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2521,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2522,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2523,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2524,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2525,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2526,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2527,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2528,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2529,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2530,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2531,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2532,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2533,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2534,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2535,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2536,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2537,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2538,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2539,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2540,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2541,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2542,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2543,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2544,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2545,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2546,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2547,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2548,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2549,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2550,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2551,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2552,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2553,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2554,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2555,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2556,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2557,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2558,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2559,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2560,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2561,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2562,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2563,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2564,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2565,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2566,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2567,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2568,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2569,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2570,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2571,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2572,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2573,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2574,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2575,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2576,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2577,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2578,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2579,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2580,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2581,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2582,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2583,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2584,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2585,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2586,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2587,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2588,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2589,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2590,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2591,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2592,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2593,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2594,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2595,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2596,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2597,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2598,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2599,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2600,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2601,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2602,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2603,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2604,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2605,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2606,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2607,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2608,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2609,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2610,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2611,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2612,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2613,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2614,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2615,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2616,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2617,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2618,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2619,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2620,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2621,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2622,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2623,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2624,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
2625,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
2626,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
2627,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
2628,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
2629,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
2630,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
2631,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
2632,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
2633,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
2634,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
2635,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
2636,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
2637,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
2638,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
2639,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
2640,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2641,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
2642,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
2643,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
2644,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
